IdPost,Content
29997413,"thnx you about this work
please i want the botnet pack"
30025818,"Awesome pack!
can i get this?
PM me ; )"
54435261,"I have a guy willing to send money but it must be the girl I use, 


***LINK***this pic plz[https://imgur.com/a/fIapU]***LINK***




must say trond,          inbox me it, and ill happily split with you."
50709329,Thank you for the packs :)
48634260,"Sounds pretty cool, I might purchase this for when winter break comes around. What are the resources you refer to in the higher packages?"
30658241,"Click my sig, we have packages as low as $5."
38811688,"Cracking a wpa password totally depends on its length and strength but mostly people use their mobile numbers, or girlfriends mobile number. So piping crunch to aircrack can help you. 

PS: it helped me :)"
54044667,"I really need some quality packs!

Thanks in advance and will contact you via Skype because I can't pm..

ecomx"
5561839,"Whats packet size exactly
and whats packet number.

Standard packet size and number I ddos is 65500

But what is best settings to ddos?
What packet size and number should I use."
14668064,"I Package for $60 

Let me know if you're interested."
28238099,"I like your package , Pm'ing you thank in advance ~"
54506101,"It seems like people are getting a bit smarter, and asking for more verification/samples these days. It's still a goldmine for unsaturated methods & a good verification pack though."
49199906,"Just bought this!

Transaction ID: 4FV923827S285804W

Package purchased: Exclusive

Email: slindmar@go.olemiss.edu"
29108281,"please send to i would love to use the tools :D Thanks in advice :)

Hey dude i would love to use this package :D. Thanks in advice :D"
29104125,Could you share this pack with me dude thanks .
47013944,"***CITING***[https://hackforums.net/showthread.php?pid=47009691#pid47009691]***CITING***

But then I can't see her sexy skin in game and get a private twerk time :("
47009691,"Fight fire with fire m8 and see how she feels, if she complains block that bitch like kids on minecraft."
48269999,id love to have this pack thanks.
48269809,"Sent out the packs to You guys, post feedback here if it boosts Your earnings."
48264206,"Would like a copy of this photo pack.

Thanks ***IMG***[images/smilies/blackhat.gif]***IMG***"
29674424,"***CITING***[https://hackforums.net/showthread.php?pid=29674072#pid29674072]***CITING***

Anybody knows a website or a person who is selling exploit packs?  Just asking... ***IMG***[images/smilies/victoire.gif]***IMG***"
47074437,good luck to you finding a girl haha
14852047,"***CITING***[https://hackforums.net/showthread.php?pid=14851137#pid14851137]***CITING***

If you put it into lr or money pack it's all yours for 40."
16376717,"i PMed you about jepack, awaiting a reply now. . ."
49160994,"Hi, I would love this pack, Thx"
51324284,"Please send me packs, I can't pm you"
51323607,"hey can u pm me the pack 
Thank you :)"
54441339,I cannot PM as I do not have enough posts but I would love to have the pack :D
47039619,"***CITING***[https://hackforums.net/showthread.php?pid=47039609#pid47039609]***CITING***

im the girl in the pic. im straight"
36129624,Better internet package from your provider and if you are having signal problems get a new router.
9140845,"She is a good friend of mine. I buy alot of makeup from her site.
I did the homepage mainly."
14918024,"I am selling an account with all blackops map packs and dead rising case zero for $4 paypal. msg me if interested. it is license transfer ready

Ill post a pic of the account if any1 is actually interested.

Ill go first to trusted users only. otherwise u go first"
26727372,"I guess no one is interested in learning about how packets communicate between the user and server to create a TCP connection and how we can exploit this to gain information to perform an attack. It's a shame, really."
42408674,"Know that Package has a good taste for twitters, vouch for my man."
48118130,"***CITING***[https://hackforums.net/showthread.php?pid=48086432#pid48086432]***CITING***

Will she love me long time if I pay a lil extra? ;)"
43141481,"***CITING***[https://hackforums.net/showthread.php?pid=43141191#pid43141191]***CITING***

This really depends, but honestly I would have to say using VCW's.
People really don't want to buy pictures, because they can find them online for free, but when you ""buy a show"" on Skype, you can't really find a real  girl that will do a private show for you. Hence why the Skype method would make more money."
46216047,Check out our shared hosting packages for improved speeds and no downtime!
47065694,I wouldn't. That's if I still lived with them. My girlfriend knows though lol.
47061973,"***CITING***[https://hackforums.net/showthread.php?pid=47061966#pid47061966]***CITING***

Yeah, I know.
The person that caught me was my mom too.

She made me read the whole thread out loud."
48688444,is botnets and exploit packs allowed ?
49890035,Be sure to check out our dedicated server packages for insane speeds!
50602688,Be sure to check out our shared hosting packages for insane speeds and no downtime!
50578299,"Be sure to check out our VPS packages, I can assure you quality when using our services!"
51376329,Be sure to check out our shared hosting packages for insane speeds and no downtime!
16295673,"Hit me up on aim gbprank
All shells are 55k packets and we have 1.2k private shells only.
If u want proof or pictures hit me up"
47062744,I just realized that makeup is just like photoshop in real life. That's crazy. That means that every girl who wears make up is a liar. Because that's not their real face. And push up bras are lies too. Lol!
41433885,"transaction id: 8U624877FH9978441
email: dustinvanderheiden@hotmail.com
package: Gold"
41400751,"Just made a purcase of silver package, u can check payment on paypal.
Transaction ID:4US40686NH242012M.
I can wait to get your copy of the book  ***IMG***[images/smilies/victoire.gif]***IMG***"
41364541,"Paid by Paypal

Transaction ID: 4J197668UJ971404N.

I purchased the ""Gold Package""

Email: brady****@gmail.com"
41364486,"Hi , 
New Transaction By credit card
Your transaction ID for this payment is: 7TY85552NK768942J.
Email : undertechali@gmail.com
GOLD PACKAGES"
41641947,"Hi, you won't respond to any of my PMs, won't add me back on Skype, and still haven't sent the extra ebook as I ordered the gold package.  Please respond.

Thank you so much"
41640635,"purchased gold package with paypal,
transaction ID 6LB84906ND3665030

send me through pm pls

will post results later :)"
41618289,"Just bought the silver Package 
transaction ID: 7GE90754FG8766716."
41692861,"Just purchased Silver package,

Transaction ID: 0LL59701647389141
Emal, same as PayPal: the.s****n.f******n@gmail.com

Thanks, hopefully I can receive my copy today ***IMG***[images/smilies/blackhat.gif]***IMG***"
41568446,"2UK78755731273643
i.oanceatraian@gmail.com
47.95$ package"
41489120,"Hi isildar

Just bought the Ebook, please send it over:

I purchased the bronze package.
Transation ID: 21W260181C9408411
Paypal email: jobwow@gmail.com

Thx !!"
42052460,"Also would be very nice if you could send it today, got a day off :)

Transaction ID : 6CL32338BP623150R
Package: Bronze"
53785703,"***CITING***[https://hackforums.net/showthread.php?pid=53693385#pid53693385]***CITING***

Try that, and if you're still having problems PM me. 

***CITING***[https://hackforums.net/showthread.php?pid=53785150#pid53785150]***CITING***
 
You can send fake camera pictures on Kik, tricking guys into thinking you're taking a live picture as a girl."
41569119,"Hey I just bougth your ebook Revenue Bronze Package

Transaction ID: 1PS10467E3776474K
mail: rene123@live.dk"
41492364,"Bronze package

Transaction ID:0BR90566DT9965356

email:leandro.o1297@gmail.com"
42041619,"Isdar, its been a few days since I purchased the Bronze package. I have emailed you and posted on this forum. Please forward me download instructions. My paypal transaction ID: 9T835972H17241016."
42001971,Purchased the gold package. I just messaged you the details.
41964992,"I purchased your silver package, im waiting for your PM 

Transaction ID: 2P006145U0933854G. Silver Package"
41740260,"Hi Isidar,
i purchased gold package, and would like to know the others website as you want to email daily.

Already email you but still waiting for ur reply.

Cannt pm you, my post not enough...

Waiting for your reply,

Thanks"
41732498,"Gold Package: 0YV50271C9652833B

thank u"
54399809,Get a real life girlfriend... they are gonna suck your wallet dry lol
42922432,"I delete all on my computer, can i get the ebook please ? My transaction ID of paypal of my purchase of Gold Package is : 37D14964VD7241124 ? Thanks"
50275607,"Vouching for this!!!
It took sometime to get my package but after I got it, it works flawlessly and great!!!
Thanks Bro!"
