,IdPost,Content,Content Cleaner
0,230261,"-THREAD I REVIVE YOU-

How many men does it take to change a lightbulb? - None, let her do the dishes in the dark.



Things NOT to say in bed

1. But everybody looks funny naked! 
2. You woke me up for that? 

3. Did I mention the video camera? 

4. Do you smell something burning? 

5. Can you please try breathing through your nose.

6. A little rug burn never hurt anyone. 

7. Darling, did you lock the back door? 

8. But whipped cream makes me break out in a rash.

9. person 1: This is your first time...right? person 2: It is....... today

10. Can you pass me the remote control? 

11. Do you accept Visa? 

12. On second thoughts, let's turn off the lights.

13. And to think- I was really trying to pick up your friend. 

14. So much for mouth-to-mouth

15. Hope you're as good looking when I'm sober... 

16. Try not to smear my make-up, will you'? 

17. But I just brushed my teeth... 18. Smile, you're on candid camera! 

19. I thought you had the keys to the handcuffs?! 

20. I want a baby!

21. So much for the fulfilment of sexual fantasies! 

22. (in a menage a trois) Why am I doing all the work? 

23. Did you know the ceiling needs painting? 

24. When is this supposed to feel good?

25. Did I remember to take my pill? 

26. Are you sure I don't know you from somewhere? 

27. But my cat always sleeps on that pillow. 

28. Did I tell you my aunt Martha died in this bed? 

29. If you quit smoking you might have more endurance.

30. No, really.. I do this part better myself. 

31. This would be more fun with a few more people.

32. You're almost as good as my ex! 

33. You look younger than you feel.

34. Perhaps you're just out of practice. 

35. Now I know why she dumped you...

36. Does your husband own a sawn off shot-gun? 

37. Have you ever considered liposuction? 

38. And to think, I didn't even have to buy you dinner! 

39. What are you planning to make for breakfast? 

40. I'll tell you I'm fantasizing about if you tell me who you're fantasizing about.. 

41. Does this count as a date? 

42. I think biting is romantic- don't you?

42. When would you like to meet my parents? 

43. Have you seen ""fatal attraction""? 

44. Sorry about the name tags, I'm not to good with names. 

45. Don't mind me... I always file my nails in bed. 

46. Don't worry, my dog's really friendly for a doberman. 

47. Sorry but I don't do toes. 

48. You could at least act like you're enjoying it! 

49. Keep the noise down, my mother is a light sleeper.

50. I've slept with more women than Casanova! 


What does AIDS stand for?
Anally Injected Death Sentence.

How do you know if you're at a gay picnic?
The hotdogs taste like shit! 

VERY CRUEL ***LINK***(Click to View)[javascript:void(0);]***LINK***What did the gay fireman say on 9/11?
It's raining men! Hallelujah! It's raining men! AMEN!!!!","-THREAD I REVIVE YOU-

How many men does it take to change a lightbulb? - None, let her do the dishes in the dark.



Things NOT to say in bed

1. But everybody looks funny naked! 
2. You woke me up for that? 

3. Did I mention the video camera? 

4. Do you smell something burning? 

5. Can you please try breathing through your nose.

6. A little rug burn never hurt anyone. 

7. Darling, did you lock the back door? 

8. But whipped cream makes me break out in a rash.

9. person 1: This is your first time...right? person 2: It is....... today

10. Can you pass me the remote control? 

11. Do you accept Visa? 

12. On second thoughts, let's turn off the lights.

13. And to think- I was really trying to pick up your friend. 

14. So much for mouth-to-mouth

15. Hope you're as good looking when I'm sober... 

16. Try not to smear my make-up, will you'? 

17. But I just brushed my teeth... 18. Smile, you're on candid camera! 

19. I thought you had the keys to the handcuffs?! 

20. I want a baby!

21. So much for the fulfilment of sexual fantasies! 

22. (in a menage a trois) Why am I doing all the work? 

23. Did you know the ceiling needs painting? 

24. When is this supposed to feel good?

25. Did I remember to take my pill? 

26. Are you sure I don't know you from somewhere? 

27. But my cat always sleeps on that pillow. 

28. Did I tell you my aunt Martha died in this bed? 

29. If you quit smoking you might have more endurance.

30. No, really.. I do this part better myself. 

31. This would be more fun with a few more people.

32. You're almost as good as my ex! 

33. You look younger than you feel.

34. Perhaps you're just out of practice. 

35. Now I know why she dumped you...

36. Does your husband own a sawn off shot-gun? 

37. Have you ever considered liposuction? 

38. And to think, I didn't even have to buy you dinner! 

39. What are you planning to make for breakfast? 

40. I'll tell you I'm fantasizing about if you tell me who you're fantasizing about.. 

41. Does this count as a date? 

42. I think biting is romantic- don't you?

42. When would you like to meet my parents? 

43. Have you seen ""fatal attraction""? 

44. Sorry about the name tags, I'm not to good with names. 

45. Don't mind me... I always file my nails in bed. 

46. Don't worry, my dog's really friendly for a doberman. 

47. Sorry but I don't do toes. 

48. You could at least act like you're enjoying it! 

49. Keep the noise down, my mother is a light sleeper.

50. I've slept with more women than Casanova! 


What does AIDS stand for?
Anally Injected Death Sentence.

How do you know if you're at a gay picnic?
The hotdogs taste like shit! 

VERY CRUEL  What did the gay fireman say on 9/11?
It's raining men! Hallelujah! It's raining men! AMEN!!!!"
1,22321502,"You really want to look that fucking homosexual?
Well, if you're straight, I wish you luck convincing women of it.","You really want to look that fucking homosexual?
Well, if you're straight, I wish you luck convincing women of it."
2,8649841,"***LINK***http://www.literotica.com/stories/showst...?id=161302[https://www.literotica.com/stories/showstory.php?id=161302]***LINK***

That was the last one I was on.

I read 4 of the women masturbation ones and talk about the best fapping experience ever.

Anyone find some good ones they like?

I might start writing my own ... seems like a lot of fun."," 

That was the last one I was on.

I read 4 of the women masturbation ones and talk about the best fapping experience ever.

Anyone find some good ones they like?

I might start writing my own ... seems like a lot of fun."
3,22286932,"I'm sorry but I don't want to be an Emperor, that's not my business. I don't want to rule or conquer anyone. I should like to help everyone if possible, Jew, gentile, black man, white. We all want to help one another, human beings are like that. We all want to live by each other's happiness, not by each other's misery. We don't want to hate and despise one another. In this world there is room for everyone and the earth is rich and can provide for everyone.
The way of life can be free and beautiful. But we have lost the way.

Greed has poisoned men's souls, has barricaded the world with hate;
has goose-stepped us into misery and bloodshed.

We have developed speed but we have shut ourselves in:
machinery that gives abundance has left us in want.
Our knowledge has made us cynical,
our cleverness hard and unkind.
We think too much and feel too little:
More than machinery we need humanity;
More than cleverness we need kindness and gentleness.

Without these qualities, life will be violent and all will be lost.

The aeroplane and the radio have brought us closer together. The very nature of these inventions cries out for the goodness in men, cries out for universal brotherhood for the unity of us all. Even now my voice is reaching millions throughout the world, millions of despairing men, women and little children, victims of a system that makes men torture and imprison innocent people. To those who can hear me I say ""Do not despair"".

The misery that is now upon us is but the passing of greed, the bitterness of men who fear the way of human progress: the hate of men will pass and dictators die and the power they took from the people, will return to the people and so long as men die [now] liberty will never perish. . .

Soldiers: don't give yourselves to brutes, men who despise you and enslave you, who regiment your lives, tell you what to do, what to think and what to feel, who drill you, diet you, treat you as cattle, as cannon fodder.

Don't give yourselves to these unnatural men, machine men, with machine minds and machine hearts. You are not machines. You are not cattle. You are men. You have the love of humanity in your hearts. You don't hate, only the unloved hate. Only the unloved and the unnatural. Soldiers: don't fight for slavery, fight for liberty.

In the seventeenth chapter of Saint Luke it is written:
- ""The kingdom of God is within man""
Not one man, nor a group of men, but in all men; in you, the people.

You the people have the power, the power to create machines, the power to create happiness. You the people have the power to make life free and beautiful, to make this life a wonderful adventure. Then in the name of democracy let's use that power, let us all unite. Let us fight for a new world, a decent world that will give men a chance to work, that will give you the future and old age and security. By the promise of these things, brutes have risen to power, but they lie. They do not fulfil their promise, they never will. Dictators free themselves but they enslave the people. Now let us fight to fulfil that promise. Let us fight to free the world, to do away with national barriers, do away with greed, with hate and intolerance. Let us fight for a world of reason, a world where science and progress will lead to all men's happiness.

Soldiers! In the name of democracy: let us all unite!","I'm sorry but I don't want to be an Emperor, that's not my business. I don't want to rule or conquer anyone. I should like to help everyone if possible, Jew, gentile, black man, white. We all want to help one another, human beings are like that. We all want to live by each other's happiness, not by each other's misery. We don't want to hate and despise one another. In this world there is room for everyone and the earth is rich and can provide for everyone.
The way of life can be free and beautiful. But we have lost the way.

Greed has poisoned men's souls, has barricaded the world with hate;
has goose-stepped us into misery and bloodshed.

We have developed speed but we have shut ourselves in:
machinery that gives abundance has left us in want.
Our knowledge has made us cynical,
our cleverness hard and unkind.
We think too much and feel too little:
More than machinery we need humanity;
More than cleverness we need kindness and gentleness.

Without these qualities, life will be violent and all will be lost.

The aeroplane and the radio have brought us closer together. The very nature of these inventions cries out for the goodness in men, cries out for universal brotherhood for the unity of us all. Even now my voice is reaching millions throughout the world, millions of despairing men, women and little children, victims of a system that makes men torture and imprison innocent people. To those who can hear me I say ""Do not despair"".

The misery that is now upon us is but the passing of greed, the bitterness of men who fear the way of human progress: the hate of men will pass and dictators die and the power they took from the people, will return to the people and so long as men die [now] liberty will never perish. . .

Soldiers: don't give yourselves to brutes, men who despise you and enslave you, who regiment your lives, tell you what to do, what to think and what to feel, who drill you, diet you, treat you as cattle, as cannon fodder.

Don't give yourselves to these unnatural men, machine men, with machine minds and machine hearts. You are not machines. You are not cattle. You are men. You have the love of humanity in your hearts. You don't hate, only the unloved hate. Only the unloved and the unnatural. Soldiers: don't fight for slavery, fight for liberty.

In the seventeenth chapter of Saint Luke it is written:
- ""The kingdom of God is within man""
Not one man, nor a group of men, but in all men; in you, the people.

You the people have the power, the power to create machines, the power to create happiness. You the people have the power to make life free and beautiful, to make this life a wonderful adventure. Then in the name of democracy let's use that power, let us all unite. Let us fight for a new world, a decent world that will give men a chance to work, that will give you the future and old age and security. By the promise of these things, brutes have risen to power, but they lie. They do not fulfil their promise, they never will. Dictators free themselves but they enslave the people. Now let us fight to fulfil that promise. Let us fight to free the world, to do away with national barriers, do away with greed, with hate and intolerance. Let us fight for a world of reason, a world where science and progress will lead to all men's happiness.

Soldiers! In the name of democracy: let us all unite!"
4,17832605,"***CITING***[https://hackforums.net/showthread.php?pid=17832549#pid17832549]***CITING***
Obviously it's his Facebook friends.
How else would he get those pictures of random women?
He doesn't date any of them, and he isn't in either of the pics"," 
Obviously it's his Facebook friends.
How else would he get those pictures of random women?
He doesn't date any of them, and he isn't in either of the pics"
5,8605918,"Ever since I was young I have enjoyed seeing women tied up and gagged, I don't know if its weird?

Kinda like this","Ever since I was young I have enjoyed seeing women tied up and gagged, I don't know if its weird?

Kinda like this"
6,14436615,"Woaaah, that's hilarious, she is one fat women. Lmfaao","Woaaah, that's hilarious, she is one fat women. Lmfaao"
7,8623391,"***CITING***[https://hackforums.net/showthread.php?pid=8623359#pid8623359]***CITING***
>Some women
More like your mom."," 
>Some women
More like your mom."
8,8623359,"Some women are like Internet Explorer: bloated, unstable, and open to exploitation by anyone who wants to have a go.","Some women are like Internet Explorer: bloated, unstable, and open to exploitation by anyone who wants to have a go."
9,13757912,"***CITING***[https://hackforums.net/showthread.php?pid=13756608#pid13756608]***CITING***
Believe it or not, us introverts DO have a drive for a special someone, but it is not paired with your natural drive for human interaction. That being said, your drive for love tends to be about twice as strong as ours.

My feelings on OP is that he should take his own advice and just enjoy life as a bachelor for a little bit. If he does not feel a need for a partner, why make him have one right now? 

Something that we loathe about relationships, is that it is often extremely difficult to get into a successful one based on our psychological wiring. Essentially speaking, women have a tendency to be more people oriented. That being said, it is far more likely for women to possess the cognitive function of Fe. Known as extroverted Feeling as their primary function. 

That being said, if a man is introverted, he is more disposed to having thinking as his primary based on his gender, but if he is introverted, he now has Ti instead of Te as his primary function. It is common for women to posess Fe as their primary, but many men do not have Ti as their primary, but more often than not, Te instead.

When you get the combination of Fe and Ti together, there will always be wars which rage inside. The physical wiring of the two people are anything but compatible. In this case scenario, the one with Fe (usually the female), will become angry at the man for either:

-Not sharing his feelings
-She feels he is emotionally distant
-He is not as outgoing as she likes
-The connection between the two is difficult to establish

In such relationships, the Fe user will always be the one who is angry and who leaves. The Ti user often was happy with the relationship as he feels happy with companionship.

Point of story? If you are like me (and what I suspect OP of), it is difficult to find a girl who does NOT posses Fe as her primary. That being said, relationships ARE pointless to us unless we can find the right person. I did not find out until a week or two into the relationship with my ex that she was an Fe user. My first thoughts were, ""This is going to be interesting.""

My fears came true. Everything that is supposed to happen does, and in addition, we had a few extra issues based on preferences which made matters worse (jealousy + un-trust).

As an Fe, you should learn of different personality types and use it to your advantage (seeing as you are a natural at it anyway).

Just for the record, using Fe as a primary means you focus on the feelings of others and you subconsciously gauge how good people are at certain things. That being said, Fe's tend to make great leaders. A Ti is one who thinks on a very logical level, he is one who builds maps and thinks things through inside his own little world. Many theories play and prove and disprove themselves in that little world. 

A Fe and Ti can work together as partners to be EXTREMELY useful for a job, but they will never quite...connect. One can lead the people (Fe), while the other can think of the best way to get the job done with the people (Ti). The Fe will have to tell the Ti who can do what though.  

Wow...I just made a psychological rant...fun. 

***CITING***[https://hackforums.net/showthread.php?pid=13757758#pid13757758]***CITING***To answer your question, I enjoy the social engineering aspect of hacking so I found myself actively studying psychology and different theories associated with them. This theory is debatable by many psychologists, but it is effective and accurate enough in my eyes for use. As for the extrovert vs. introvert: There are different types of intelligences. An extrovert is more intelligent when dealing with people and feelings while an introvert may be more intelligent with how things operate, work, etc. 

It is all based on what you want to do. An introvert running the country may be a smart move, but the people would never understand his actions, and because of this, they would never vote for him. Just my take on that specific area."," 
Believe it or not, us introverts DO have a drive for a special someone, but it is not paired with your natural drive for human interaction. That being said, your drive for love tends to be about twice as strong as ours.

My feelings on OP is that he should take his own advice and just enjoy life as a bachelor for a little bit. If he does not feel a need for a partner, why make him have one right now? 

Something that we loathe about relationships, is that it is often extremely difficult to get into a successful one based on our psychological wiring. Essentially speaking, women have a tendency to be more people oriented. That being said, it is far more likely for women to possess the cognitive function of Fe. Known as extroverted Feeling as their primary function. 

That being said, if a man is introverted, he is more disposed to having thinking as his primary based on his gender, but if he is introverted, he now has Ti instead of Te as his primary function. It is common for women to posess Fe as their primary, but many men do not have Ti as their primary, but more often than not, Te instead.

When you get the combination of Fe and Ti together, there will always be wars which rage inside. The physical wiring of the two people are anything but compatible. In this case scenario, the one with Fe (usually the female), will become angry at the man for either:

-Not sharing his feelings
-She feels he is emotionally distant
-He is not as outgoing as she likes
-The connection between the two is difficult to establish

In such relationships, the Fe user will always be the one who is angry and who leaves. The Ti user often was happy with the relationship as he feels happy with companionship.

Point of story? If you are like me (and what I suspect OP of), it is difficult to find a girl who does NOT posses Fe as her primary. That being said, relationships ARE pointless to us unless we can find the right person. I did not find out until a week or two into the relationship with my ex that she was an Fe user. My first thoughts were, ""This is going to be interesting.""

My fears came true. Everything that is supposed to happen does, and in addition, we had a few extra issues based on preferences which made matters worse (jealousy + un-trust).

As an Fe, you should learn of different personality types and use it to your advantage (seeing as you are a natural at it anyway).

Just for the record, using Fe as a primary means you focus on the feelings of others and you subconsciously gauge how good people are at certain things. That being said, Fe's tend to make great leaders. A Ti is one who thinks on a very logical level, he is one who builds maps and thinks things through inside his own little world. Many theories play and prove and disprove themselves in that little world. 

A Fe and Ti can work together as partners to be EXTREMELY useful for a job, but they will never quite...connect. One can lead the people (Fe), while the other can think of the best way to get the job done with the people (Ti). The Fe will have to tell the Ti who can do what though.  

Wow...I just made a psychological rant...fun. 

 To answer your question, I enjoy the social engineering aspect of hacking so I found myself actively studying psychology and different theories associated with them. This theory is debatable by many psychologists, but it is effective and accurate enough in my eyes for use. As for the extrovert vs. introvert: There are different types of intelligences. An extrovert is more intelligent when dealing with people and feelings while an introvert may be more intelligent with how things operate, work, etc. 

It is all based on what you want to do. An introvert running the country may be a smart move, but the people would never understand his actions, and because of this, they would never vote for him. Just my take on that specific area."
